model,split,future_start,future_width,n_train,n_test,n_features,accuracy,precision,recall,f1,balanced_accuracy,specificity,roc_auc,average_precision,log_loss
logistic_regression,test,420,20,229004,57122,59,0.6113931585028536,0.6090787810700744,0.6106222722793186,0.609849550056243,0.6113891577349223,0.612156043190526,0.6460847999969401,0.6233499890126021,0.6672973697903569
logistic_regression,test,420,25,229466,57301,59,0.6104430987242806,0.607758017084442,0.6095933703209495,0.6086743101574279,0.6104380132665013,0.6112826562120529,0.6443645814621639,0.6205088417596292,0.668152467540524
logistic_regression,test,420,30,229670,57352,59,0.6093248709722416,0.6065797293990141,0.6087078553134758,0.6076419290442335,0.6093211708887389,0.6099344864640022,0.6437263858609018,0.6199278032746801,0.6683037421034451
logistic_regression,test,480,10,224768,56250,59,0.5914666666666667,0.589645737327189,0.5857653791130186,0.587699153150567,0.5914334141941905,0.5971014492753624,0.6208385331567441,0.5975211982860149,0.6764131183350046
logistic_regression,test,480,15,227930,57132,59,0.590107120352867,0.588093294046647,0.5837003629188542,0.5858885941644563,0.5900658956954536,0.5964314284720531,0.6185521690057696,0.5955695388500636,0.6770077744319642
logistic_regression,test,480,20,229023,57468,59,0.58938887728823,0.5873938625233415,0.5837943833601793,0.5855885917001808,0.5893548187987336,0.5949152542372881,0.6178387159156087,0.5949650670657214,0.6773889610760908
logistic_regression,test,480,25,229474,57551,59,0.5893555281402582,0.5867954345917471,0.584721444568869,0.5857566037405129,0.5893236213353404,0.5939257981018119,0.6180304136670315,0.5951465311814954,0.6771545352950146
logistic_regression,test,480,30,229689,57585,59,0.5891464791178258,0.587321622664002,0.5848812849162012,0.5860989135949336,0.5891240074606917,0.5933667300051823,0.6181593462268549,0.5957455945011958,0.6771627671503517
logistic_regression,test,540,10,224647,56072,59,0.5812170067056641,0.5827408946735207,0.570429320866493,0.5765193868349865,0.581211238095362,0.5919931553242309,0.6065384361098691,0.5864461574854903,0.680411000111984
logistic_regression,test,540,15,227882,56881,59,0.5792268068423551,0.5818755377114998,0.5695038944635464,0.5756232490513848,0.5792478773209236,0.5889918601783009,0.6053597390607341,0.5865217979145629,0.6806670069848315
logistic_regression,test,540,20,229016,57162,59,0.5794408873027536,0.5820911489907995,0.5698575617930457,0.5759093956179656,0.57946205812494,0.5890665544568343,0.6054166819812287,0.5866195142404746,0.6806500551593887
logistic_regression,test,540,25,229450,57228,59,0.5790522122038163,0.5810392107981054,0.5696379316364653,0.5752820874471086,0.5790611038530037,0.5884842760695421,0.6046615266444042,0.5851960823193858,0.6808474518233745
logistic_regression,test,540,30,229660,57233,59,0.5785298691314451,0.5804043434776397,0.5676704863051985,0.5739667961850936,0.5785327159758367,0.5893949456464749,0.6038864071219795,0.5841960662642088,0.6809616731697763
